journal	abbreviation	impact_factor
Journal of Ancient History and Archaeology	J ANC HIST ARCHAEOL	0.2
Journal of Ancient Judaism	J ANC JUD	0.5
Journal of Ancient Near Eastern History	J ANC NEAR E HIST	0.3
Journal of Ancient Near Eastern Religions	J ANC NEAR EAST RELI	0.3
Journal of Anesthesia	J ANESTH	2.8
Journal of Anesthesia Analgesia and Critical Care	J ANESTH ANALG CRIT	4.1
Journal of Anglican Studies	J ANGLICAN STUD	0.2
JOURNAL OF ANIMAL AND FEED SCIENCES	J ANIM FEED SCI	1.9
Journal of Animal and Plant Sciences-JAPS	J ANIM PLANT SCI-PAK	0.6
Journal of Animal Behaviour and Biometeorology	J ANIM BEHAV BIOMETE	1.4
JOURNAL OF ANIMAL BREEDING AND GENETICS	J ANIM BREED GENET	1.9
JOURNAL OF ANIMAL ECOLOGY	J ANIM ECOL	3.7
JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION	J ANIM PHYSIOL AN N	2.8
JOURNAL OF ANIMAL SCIENCE	J ANIM SCI	3.7
Journal of Animal Science and Biotechnology	J ANIM SCI BIOTECHNO	7.9
JOURNAL OF ANIMAL SCIENCE AND TECHNOLOGY	J ANIM SCI TECHNOL	3.4
JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY	J ANTHROPOL ARCHAEOL	2
JOURNAL OF ANTHROPOLOGICAL RESEARCH	J ANTHROPOL RES	0.9
Journal of Anthropological Sciences	J ANTHROPOL SCI	1.6
JOURNAL OF ANTIBIOTICS	J ANTIBIOT	2.7
JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY	J ANTIMICROB CHEMOTH	4.1
Journal of Antitrust Enforcement	J ANTITRUST ENFORC	1.2
JOURNAL OF ANXIETY DISORDERS	J ANXIETY DISORD	5
JOURNAL OF AOAC INTERNATIONAL	J AOAC INT	1.8
JOURNAL OF APICULTURAL RESEARCH	J APICULT RES	1.9
JOURNAL OF APICULTURAL SCIENCE	J APIC SCI	1.1
Journal of Applied Accounting Research	J APPL ACCOUNT RES	5.1
Journal of Applied Analysis	J APPL ANAL	0.7
Journal of Applied Analysis and Computation	J APPL ANAL COMPUT	1.5
Journal of Applied and Computational Mechanics	J APPL COMPUT MECH	3.5
Journal of Applied and Numerical Analysis	J APPL NUMER ANAL	0.5
JOURNAL OF APPLIED ANIMAL RESEARCH	J APPL ANIM RES	2
JOURNAL OF APPLIED ANIMAL WELFARE SCIENCE	J APPL ANIM WELF SCI	1.3
JOURNAL OF APPLIED AQUACULTURE	J APPL AQUACULT	1.5
JOURNAL OF APPLIED BEHAVIOR ANALYSIS	J APPL BEHAV ANAL	3.4
JOURNAL OF APPLIED BEHAVIORAL SCIENCE	J APPL BEHAV SCI	2.7
Journal of Applied Biomaterials & Functional Materials	J APPL BIOMATER FUNC	2.9
Journal of Applied Biomechanics	J APPL BIOMECH	1.6
Journal of Applied Biomedicine	J APPL BIOMED	1.9
JOURNAL OF APPLIED BOTANY AND FOOD QUALITY	J APPL BOT FOOD QUAL	0.8
Journal of Applied Clinical Medical Physics	J APPL CLIN MED PHYS	2.5
JOURNAL OF APPLIED COMMUNICATION RESEARCH	J APPL COMMUN RES	1.7
JOURNAL OF APPLIED CRYSTALLOGRAPHY	J APPL CRYSTALLOGR	2.7
JOURNAL OF APPLIED DEVELOPMENTAL PSYCHOLOGY	J APPL DEV PSYCHOL	2.5
JOURNAL OF APPLIED ECOLOGY	J APPL ECOL	5.3
JOURNAL OF APPLIED ECONOMETRICS	J APPL ECONOMET	2.5
Journal of Applied Economics	J APPL ECON	2.7
Journal of Applied Economics and Business Research	J APPL ECON BUS RES	0.5
JOURNAL OF APPLIED ELECTROCHEMISTRY	J APPL ELECTROCHEM	3.7
Journal of Applied Engineering Sciences	J APPL ENG SCI	0.8
JOURNAL OF APPLIED ENTOMOLOGY	J APPL ENTOMOL	1.8
Journal of Applied Fluid Mechanics	J APPL FLUID MECH	1.7
JOURNAL OF APPLIED GENETICS	J APPL GENET	2.1
Journal of Applied Geodesy	J APPL GEOD	1.4
JOURNAL OF APPLIED GEOPHYSICS	J APPL GEOPHYS	2.6
JOURNAL OF APPLIED GERONTOLOGY	J APPL GERONTOL	2
Journal of Applied Glycoscience	J APPL GLYOSCI	1.5
Journal of Applied Hermeneutics	J APPL HERMENEUTICS	0.3
JOURNAL OF APPLIED ICHTHYOLOGY	J APPL ICHTHYOL	1.6
Journal of Applied Journalism & Media Studies	J APPL JOURNAL MEDIA	0.5
Journal of Applied Laboratory Medicine	J APPL LAB MED	2.3
Journal of Applied Logics-IfCoLoG Journal of Logics and their Applications	J APPL LOG-IFCOLOG	0.3
Journal of Applied Mathematics	J APPL MATH	2
Journal of Applied Mathematics & Informatics	J APPL MATH INFORM	0.5
Journal of Applied Mathematics and Computational Mechanics	J APPL MATH COMP MEC	1.5
Journal of Applied Mathematics and Computing	J APPL MATH COMPUT	3
Journal of Applied Mathematics Statistics and Informatics	J APPL MATH STAT INF	1
Journal of Applied Mechanics and Technical Physics	J APPL MECH TECH PH+	0.8
JOURNAL OF APPLIED MECHANICS-TRANSACTIONS OF THE ASME	J APPL MECH-T ASME	2.7
Journal of Applied Meteorology and Climatology	J APPL METEOROL CLIM	2.6
JOURNAL OF APPLIED MICROBIOLOGY	J APPL MICROBIOL	2.8
Journal of Applied Nonlinear Dynamics	J APPL NONLINEAR DYN	0.8
Journal of Applied Oral Science	J APPL ORAL SCI	3
Journal of Applied Philosophy	J APPL PHILOS	1.2
JOURNAL OF APPLIED PHYCOLOGY	J APPL PHYCOL	3.6
JOURNAL OF APPLIED PHYSICS	J APPL PHYS	2.7
Journal of Applied Physiology	J APPL PHYSIOL	3.7
JOURNAL OF APPLIED POLYMER SCIENCE	J APPL POLYM SCI	3.1
JOURNAL OF APPLIED POULTRY RESEARCH	J APPL POULTRY RES	2.3
JOURNAL OF APPLIED PROBABILITY	J APPL PROBAB	0.6
JOURNAL OF APPLIED PSYCHOLOGY	J APPL PSYCHOL	6.7
Journal of Applied Remote Sensing	J APPL REMOTE SENS	1.8
Journal of Applied Research in Higher Education	J APPL RES HIGH EDUC	1.8
JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES	J APPL RES INTELLECT	2.2
Journal of Applied Research in Memory and Cognition	J APPL RES MEM COGN	2.4
Journal of Applied Research on Medicinal and Aromatic Plants	J APPL RES MED AROMA	3.4
Journal of Applied School Psychology	J APPL SCH PSYCHOL	0.4
Journal of Applied Science and Engineering	J APPL SCI ENG	0.8
Journal of Applied Security Research	J APPL SEC RES	2
JOURNAL OF APPLIED SOCIAL PSYCHOLOGY	J APPL SOC PSYCHOL	2.6
Journal of Applied Spectroscopy	J APPL SPECTROSC+	0.7
Journal of Applied Sport and Exercise Psychology-Zeitschrift fur Sportpsychologie	J APPL SPORT EXERC P	0.4
Journal of Applied Sport Management	J APPL SPORT MANAG	0.5
JOURNAL OF APPLIED SPORT PSYCHOLOGY	J APPL SPORT PSYCHOL	3.6
JOURNAL OF APPLIED STATISTICS	J APPL STAT	1.1
JOURNAL OF APPLIED TOXICOLOGY	J APPL TOXICOL	3.1
Journal of Applied Water Engineering and Research	J APPL WATER ENG RES	1
JOURNAL OF APPROXIMATION THEORY	J APPROX THEORY	0.7
JOURNAL OF AQUATIC ANIMAL HEALTH	J AQUAT ANIM HEALTH	2.1
Journal of Aquatic Food Product Technology	J AQUAT FOOD PROD T	1.2
JOURNAL OF AQUATIC PLANT MANAGEMENT	J AQUAT PLANT MANAGE	0.4
Journal of Arab & Muslim Media Research	J ARAB MUSLIM MEDIA	0.6
JOURNAL OF ARABIC LITERATURE	J ARABIC LIT	0.3
JOURNAL OF ARACHNOLOGY	J ARACHNOL	1
JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY	J ARCHAEOL METHOD TH	2.7
JOURNAL OF ARCHAEOLOGICAL RESEARCH	J ARCHAEOL RES	5
JOURNAL OF ARCHAEOLOGICAL SCIENCE	J ARCHAEOL SCI	2.9
Journal of Archaeological Science-Reports	J ARCHAEOL SCI-REP	1.6
JOURNAL OF ARCHITECTURAL AND PLANNING RESEARCH	J ARCHIT PLAN RES	6.3
Journal of Architectural Conservation	J ARCHIT CONSERV	1.6
JOURNAL OF ARCHITECTURAL EDUCATION	J ARCHIT EDUC	0.3
Journal of Architectural Engineering	J ARCHIT ENG	2
Journal of Architecture	J ARCHITECTURE	0.7
Journal of Architecture and Planning -King Saud University	J ARCHIT PLAN-KING S	0.3
Journal of Architecture and Urbanism	J ARCHIT URBAN	1
Journal of Argumentation in Context	J ARGUM CONTEXT	0.7
Journal of Arid Environments	J ARID ENVIRON	2.5
Journal of Arid Land	J ARID LAND	3.4
Journal of Arrhythmia	J ARRYTHM	1.9
JOURNAL OF ARTHROPLASTY	J ARTHROPLASTY	4.4
Journal of Arthropod-Borne Diseases	J ARTHROPOD-BORNE DI	1.3
Journal of Artificial Intelligence and Soft Computing Research	J ARTIF INTELL SOFT	5
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH	J ARTIF INTELL RES	4
JOURNAL OF ARTIFICIAL ORGANS	J ARTIF ORGANS	1.2
JOURNAL OF ARTS MANAGEMENT LAW AND SOCIETY	J ART MANAG LAW SOC	1.2
Journal of Asia Business Studies	J ASIA BUS STUD	3.3
Journal of Asia TEFL	J ASIA TEFL	0.4
Journal of Asia-Pacific Biodiversity	J ASIA-PAC BIODIVERS	0.8
JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	J ASIA-PAC ENTOMOL	1.5
Journal of Asia-Pacific Pop Culture	J ASIA-PAC POP CULT	0.1
JOURNAL OF ASIAN AND AFRICAN STUDIES	J ASIAN AFR STUD	1
Journal of Asian Architecture and Building Engineering	J ASIAN ARCHIT BUILD	2.6
Journal of Asian Business and Economic Studies	J ASIAN BUS ECON ST	3.2
Journal of Asian Ceramic Societies	J ASIAN CERAM SOC	1.8
JOURNAL OF ASIAN EARTH SCIENCES	J ASIAN EARTH SCI	2.4
Journal of Asian Earth Sciences-X	J ASIAN EARTH SCI-X	1.6
Journal of Asian Economics	J ASIAN ECON	3.6
JOURNAL OF ASIAN HISTORY	J ASIAN HIST	0.2
JOURNAL OF ASIAN NATURAL PRODUCTS RESEARCH	J ASIAN NAT PROD RES	1.6
Journal of Asian Pacific Communication	J ASIAN PAC COMMUN	1
Journal of Asian Public Policy	J ASIAN PUBLIC POLIC	2.9
Journal of Asian Security and International Affairs	J ASIAN SECUR INT AF	1.1
JOURNAL OF ASIAN STUDIES	J ASIAN STUD	0.8
Journal of Asset Management	J ASSET MANAG	1.7
JOURNAL OF ASSISTED REPRODUCTION AND GENETICS	J ASSIST REPROD GEN	2.8
JOURNAL OF ASTHMA	J ASTHMA	1.6
Journal of Asthma and Allergy	J ASTHMA ALLERGY	3.3
Journal of Astronomical History and Heritage	J ASTRON HIST HERIT	0.5
Journal of Astronomical Instrumentation	J ASTRON INSTRUM	1.5
Journal of Astronomical Telescopes Instruments and Systems	J ASTRON TELESC INST	1.5
Journal of Astronomy and Space Sciences	J ASTRON SPACE SCI	2.4
JOURNAL OF ASTROPHYSICS AND ASTRONOMY	J ASTROPHYS ASTRON	1.5
Journal of Atherosclerosis and Thrombosis	J ATHEROSCLER THROMB	3.4
Journal of Athletic Training	J ATHL TRAINING	2.6
JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY	J ATMOS OCEAN TECH	2.3
JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS	J ATMOS SOL-TERR PHY	2.2
JOURNAL OF ATMOSPHERIC CHEMISTRY	J ATMOS CHEM	2.8
Journal of Attention Disorders	J ATTEN DISORD	3.2
Journal of Audiology and Otology	J AUDIOL OTOL	1.8
Journal of Australian Political Economy	J AUST POLIT ECON	0.8
Journal of Australian Studies	J AUST STUD	0.5
Journal of Austrian Studies	J AUSTRIAN STUD	0.3
JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS	J AUTISM DEV DISORD	2.6
JOURNAL OF AUTOIMMUNITY	J AUTOIMMUN	6.8
JOURNAL OF AUTOMATED REASONING	J AUTOM REASONING	0.7
JOURNAL OF AVIAN BIOLOGY	J AVIAN BIOL	1.9
JOURNAL OF AVIAN MEDICINE AND SURGERY	J AVIAN MED SURG	0.5
Journal of Ayurveda and Integrative Medicine	J AYURVEDA INTEGR ME	2.1
JOURNAL OF BACK AND MUSCULOSKELETAL REHABILITATION	J BACK MUSCULOSKELET	1.6
JOURNAL OF BACTERIOLOGY	J BACTERIOL	3.8
Journal of Balkan and Near Eastern Studies	J BALKAN NEAR E STUD	1
Journal of Baltic Science Education	J BALT SCI EDUC	1.4
JOURNAL OF BALTIC STUDIES	J BALTIC STUD	0.6
JOURNAL OF BAND RESEARCH	J BAND RES	0.1
JOURNAL OF BANKING & FINANCE	J BANK FINANC	4
Journal of Banking Regulation	J BANK REGUL	1.7
Journal of Basic and Applied Zoology	J BASIC APPL ZOOL	1.7
Journal of Basic and Clinical Health Sciences	J BASIC CLIN HEALTH	0.4
JOURNAL OF BASIC MICROBIOLOGY	J BASIC MICROB	3.3
JOURNAL OF BECKETT STUDIES	J BECKETT STUD	0.3
JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY	J BEHAV THER EXP PSY	2.3
Journal of Behavioral Addictions	J BEHAV ADDICT	6.3
Journal of Behavioral and Cognitive Therapy	J BEHAV COGN THER	2.3
Journal of Behavioral and Experimental Economics	J BEHAV EXP ECON	1.5
Journal of Behavioral and Experimental Finance	J BEHAV EXP FINANC	3.9
JOURNAL OF BEHAVIORAL DECISION MAKING	J BEHAV DECIS MAKING	1.5
Journal of Behavioral Education	J BEHAV EDUC	1.3
Journal of Behavioral Finance	J BEHAV FINANC	1.7
JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH	J BEHAV HEALTH SER R	1.6
JOURNAL OF BEHAVIORAL MEDICINE	J BEHAV MED	2.7
Journal of Behavioral Science	J BEHAV SCI	0.7
Journal of Behcet Uz Childrens Hospital	J BEHCET UZ CHILD H	0.2
Journal of Belgian History-Revue Belge d Histoire Contemporaine-Belgisch Tijdschrift voor Nieuwste Geschiedenis	J BELG HIST	0.1
Journal of Beliefs & Values-Studies in Religion & Education	J BELIEFS VALUES	1.4
Journal of Benefit-Cost Analysis	J BENEFIT-COST ANAL	1.9
Journal of Berry Research	J BERRY RES	2.5
JOURNAL OF BIBLICAL LITERATURE	J BIBLICAL LIT	0.4
Journal of Big Data	J BIG DATA-GER	10.8
Journal of Bio-X Research	J BIO-X RES	2.3
JOURNAL OF BIOACTIVE AND COMPATIBLE POLYMERS	J BIOACT COMPAT POL	1.9
JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY	J BIOCHEM MOL TOXIC	3.6
Journal of Biochemistry	J BIOCHEM	2.4
JOURNAL OF BIOENERGETICS AND BIOMEMBRANES	J BIOENERG BIOMEMBR	3.7
Journal of Bioethical Inquiry	J BIOETHIC INQ	2.1
JOURNAL OF BIOGEOGRAPHY	J BIOGEOGR	3.5
Journal of Bioinformatics and Computational Biology	J BIOINF COMPUT BIOL	0.8
JOURNAL OF BIOLOGICAL CHEMISTRY	J BIOL CHEM	4.1
Journal of Biological Dynamics	J BIOL DYNAM	2.7
JOURNAL OF BIOLOGICAL EDUCATION	J BIOL EDUC	1.2
Journal of Biological Engineering	J BIOL ENG	6.3
JOURNAL OF BIOLOGICAL INORGANIC CHEMISTRY	J BIOL INORG CHEM	2.8
JOURNAL OF BIOLOGICAL PHYSICS	J BIOL PHYS	2
Journal of Biological Research-Bollettino della Societa Italiana di Biologia Sperimentale	J BIOL RES-BOLL SOC	0.6
Journal of Biological Research-Thessaloniki	J BIOL RES-THESSALON	0.8
JOURNAL OF BIOLOGICAL RHYTHMS	J BIOL RHYTHM	3
JOURNAL OF BIOLOGICAL SYSTEMS	J BIOL SYST	1.3
Journal of Biologically Active Products from Nature	J BIOL ACT PROD NAT	1.3
JOURNAL OF BIOMATERIALS APPLICATIONS	J BIOMATER APPL	2.4
JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION	J BIOMAT SCI-POLYM E	3.5
JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME	J BIOMECH ENG-T ASME	1.6
Journal of Biomechanical Science and Engineering	J BIOMECH SCI ENG	1
JOURNAL OF BIOMECHANICS	J BIOMECH	2.9
JOURNAL OF BIOMEDICAL INFORMATICS	J BIOMED INFORM	5.9
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A	J BIOMED MATER RES A	3.8
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS	J BIOMED MATER RES B	3
JOURNAL OF BIOMEDICAL OPTICS	J BIOMED OPT	3.3
Journal of Biomedical Research	J BIOMED RES	3.7
JOURNAL OF BIOMEDICAL SCIENCE	J BIOMED SCI	14.5
Journal of Biomedical Semantics	J BIOMED SEMANT	2.6
Journal of Biomimetics Biomaterials and Biomedical Engineering	J BIOMIM BIOMATER BI	0.6
JOURNAL OF BIOMOLECULAR NMR	J BIOMOL NMR	2.1
JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS	J BIOMOL STRUCT DYN	2.5
Journal of Bionic Engineering	J BIONIC ENG	4.4
Journal of Biopharmaceutical Statistics	J BIOPHARM STAT	1.3
Journal of Biophotonics	J BIOPHOTONICS	2
Journal of Bioresources and Bioproducts	J BIORESOUR BIOPROD	19.9
Journal of Biosafety and Biosecurity	J BIOSAF BIOSECUR	3.5
JOURNAL OF BIOSCIENCE AND BIOENGINEERING	J BIOSCI BIOENG	2.5
JOURNAL OF BIOSCIENCES	J BIOSCIENCES	1.7
JOURNAL OF BIOSOCIAL SCIENCE	J BIOSOC SCI	1.4
Journal of Biosystems Engineering	J BIOSYST ENG-KOR	2.9
JOURNAL OF BIOTECHNOLOGY	J BIOTECHNOL	4
Journal of Bisexuality	J BISEXUALITY	1.3
Journal of Black Psychology	J BLACK PSYCHOL	3.2
JOURNAL OF BLACK STUDIES	J BLACK STUD	1
Journal of Blood Medicine	J BLOOD MED	2.1
JOURNAL OF BODYWORK AND MOVEMENT THERAPIES	J BODYW MOV THER	1.3
Journal Of Bone And Joint Infection	J BONE JOINT INFECT	2.7
JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME	J BONE JOINT SURG AM	4.5
JOURNAL OF BONE AND MINERAL METABOLISM	J BONE MINER METAB	2.9
JOURNAL OF BONE AND MINERAL RESEARCH	J BONE MINER RES	6.5
Journal of Bone Oncology	J BONE ONCOL	3.6
Journal of Borderlands Studies	J BORDERL STUD	1.2
Journal of Brachial Plexus and Peripheral Nerve Injury	J BRACHIAL PLEX PERI	1.1
Journal of Brand Management	J BRAND MANAG	6.2
Journal of Breast Cancer	J BREAST CANCER	3.6
Journal of Breast Imaging	J BREAST IMAGING	1.7
Journal of Breath Research	J BREATH RES	2.7
Journal of Bridge Engineering	J BRIDGE ENG	3.8
Journal of British Cinema and Television	J BRIT CINE TELEV	0.2
JOURNAL OF BRITISH STUDIES	J BRIT STUD	0.9
JOURNAL OF BROADCASTING & ELECTRONIC MEDIA	J BROADCAST ELECTRON	2.3
Journal of Bronchology & Interventional Pulmonology	J BRONCHOL INTERN PU	2.3
JOURNAL OF BRYOLOGY	J BRYOL	0.7
Journal of Building Engineering	J BUILD ENG	8.1
Journal of Building Performance Simulation	J BUILD PERFORM SIMU	3.2
Journal of Building Physics	J BUILD PHYS	2.3
Journal of Burn Care & Research	J BURN CARE RES	1.9
JOURNAL OF BUSINESS & ECONOMIC STATISTICS	J BUS ECON STAT	2.4
Journal of Business & Finance Librarianship	J BUS FINANC LIBR	1.9
JOURNAL OF BUSINESS & INDUSTRIAL MARKETING	J BUS IND MARK	4.1
Journal of Business Analytics	J BUS ANAL	1.9
JOURNAL OF BUSINESS AND PSYCHOLOGY	J BUS PSYCHOL	4.8
JOURNAL OF BUSINESS AND TECHNICAL COMMUNICATION	J BUS TECH COMMUN	3.3
JOURNAL OF BUSINESS ECONOMICS	J BUS ECON-GER	3.8
Journal of Business Economics and Management	J BUS ECON MANAG	2.9
JOURNAL OF BUSINESS ETHICS	J BUS ETHICS	6.3
Journal of Business Finance & Accounting	J BUS FINAN ACCOUNT	2.6
Journal of Business Logistics	J BUS LOGIST	10.7
Journal of Business Research	J BUS RES	11.1
JOURNAL OF BUSINESS VENTURING	J BUS VENTURING	8.1
Journal of Business-to-Business Marketing	J BUS-BUS MARK	1.8
Journal of Cachexia Sarcopenia and Muscle	J CACHEXIA SARCOPENI	9.9
JOURNAL OF CANADIAN STUDIES-REVUE D ETUDES CANADIENNES	J CAN STUD	0.3
Journal of Cancer	J CANCER	3.4
JOURNAL OF CANCER EDUCATION	J CANCER EDUC	1.6
Journal of Cancer Metastasis and Treatment	J CANCER METAS TREAT	1.6
Journal of Cancer Policy	J CANCER POLICY	2.2
Journal of Cancer Prevention	J CANCER PREV	2.5
JOURNAL OF CANCER RESEARCH AND CLINICAL ONCOLOGY	J CANCER RES CLIN	3.3
Journal of Cancer Research and Therapeutics	J CANCER RES THER	1.4
Journal of Cancer Survivorship	J CANCER SURVIV	3.4
Journal of Cannabis Research	J CANNABIS RES	3.8
JOURNAL OF CARBOHYDRATE CHEMISTRY	J CARBOHYD CHEM	1
JOURNAL OF CARDIAC FAILURE	J CARD FAIL	9.9
JOURNAL OF CARDIAC SURGERY	J CARDIAC SURG	0.4
Journal of Cardiology	J CARDIOL	3.5
Journal of Cardiopulmonary Rehabilitation and Prevention	J CARDIOPULM REHABIL	2.9
JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA	J CARDIOTHOR VASC AN	2.6
Journal of Cardiothoracic Surgery	J CARDIOTHORAC SURG	1.6
Journal of Cardiovascular Aging	J CARDIOVASC AGING	4.4
Journal Of Cardiovascular and Thoracic Research	J CARDIOVASC THORAC	1.4
Journal of Cardiovascular Computed Tomography	J CARDIOVASC COMPUT	5.4
Journal of Cardiovascular Development and Disease	J CARDIOVASC DEV DIS	2.6
Journal of Cardiovascular Echography	J CARDIOVASC ECHOGR	1.1
JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY	J CARDIOVASC ELECTR	2.4
Journal of Cardiovascular Emergencies	J CARDIOVASC EMERG	0.5
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE	J CARDIOVASC MAGN R	5
Journal of Cardiovascular Medicine	J CARDIOVASC MED	2.6
Journal of Cardiovascular Nursing	J CARDIOVASC NURS	2.3
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY	J CARDIOVASC PHARM	2.5
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS	J CARDIOVASC PHARM T	2.9
JOURNAL OF CARDIOVASCULAR SURGERY	J CARDIOVASC SURG	1.3
Journal of Cardiovascular Translational Research	J CARDIOVASC TRANSL	2.6
JOURNAL OF CAREER ASSESSMENT	J CAREER ASSESSMENT	3.3
JOURNAL OF CAREER DEVELOPMENT	J CAREER DEV	2.4
Journal of Cases on Information Technology	J CASES INF TECHNOL	1.4
JOURNAL OF CATALYSIS	J CATAL	6
JOURNAL OF CATARACT AND REFRACTIVE SURGERY	J CATARACT REFR SURG	3.7
Journal of Causal Inference	J CAUSAL INFERENCE	2.2
JOURNAL OF CAVE AND KARST STUDIES	J CAVE KARST STUD	0.3
JOURNAL OF CELL BIOLOGY	J CELL BIOL	6.1
Journal of Cell Communication and Signaling	J CELL COMMUN SIGNAL	4
JOURNAL OF CELL SCIENCE	J CELL SCI	3.9
JOURNAL OF CELLULAR AND MOLECULAR MEDICINE	J CELL MOL MED	4.7
Journal of Cellular Automata	J CELL AUTOM	0.3
JOURNAL OF CELLULAR BIOCHEMISTRY	J CELL BIOCHEM	3
JOURNAL OF CELLULAR PHYSIOLOGY	J CELL PHYSIOL	4
JOURNAL OF CELLULAR PLASTICS	J CELL PLAST	3
Journal of Central Banking Theory and Practice	J CENT BANK THEOR PR	1.7
Journal of Central European Agriculture	J CENT EUR AGRIC	0.8
Journal of Central Nervous System Disease	J CENT NERV SYST DIS	2.4
Journal of Central South University	J CENT SOUTH UNIV	4.7
JOURNAL OF CERAMIC PROCESSING RESEARCH	J CERAM PROCESS RES	1.4
Journal of Ceramic Science and Technology	J CERAM SCI TECHNOL	0.9
Journal of Cereal Science	J CEREAL SCI	4.3
JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM	J CEREBR BLOOD F MET	4.7
JOURNAL OF CHANGE MANAGEMENT	J CHANG MANAG	3.1
JOURNAL OF CHEMICAL AND ENGINEERING DATA	J CHEM ENG DATA	2.4
JOURNAL OF CHEMICAL CRYSTALLOGRAPHY	J CHEM CRYSTALLOGR	0.7
JOURNAL OF CHEMICAL ECOLOGY	J CHEM ECOL	2.1
JOURNAL OF CHEMICAL EDUCATION	J CHEM EDUC	3
JOURNAL OF CHEMICAL ENGINEERING OF JAPAN	J CHEM ENG JPN	1.9
Journal of Chemical Information and Modeling	J CHEM INF MODEL	6.4
Journal of Chemical Metrology	J CHEM METROL	1.5
JOURNAL OF CHEMICAL NEUROANATOMY	J CHEM NEUROANAT	2.6
JOURNAL OF CHEMICAL PHYSICS	J CHEM PHYS	3.7
JOURNAL OF CHEMICAL RESEARCH	J CHEM RES	1.5
JOURNAL OF CHEMICAL SCIENCES	J CHEM SCI	1.8
JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY	J CHEM TECHNOL BIOT	2.7
Journal of Chemical Theory and Computation	J CHEM THEORY COMPUT	5.8
JOURNAL OF CHEMICAL THERMODYNAMICS	J CHEM THERMODYN	2.5
Journal of Cheminformatics	J CHEMINFORMATICS	7.9
Journal of Chemistry	J CHEM-NY	4
Journal of Chemistry and Technologies	J CHEM TECHNOL	0.5
JOURNAL OF CHEMOMETRICS	J CHEMOMETR	2
JOURNAL OF CHEMOTHERAPY	J CHEMOTHERAPY	2.1
Journal of Chest Surgery	J CHEST SURG	1.5
Journal of Child & Adolescent Trauma	J CHILD ADOLES TRAUM	2.2
Journal of Child - Cocuk Dergisi	J CHILD-COCUK DERG	0.2
Journal of Child and Adolescent Mental Health	J CHILD ADOLESC MENT	1.7
Journal of Child and Adolescent Psychiatric Nursing	J CHILD ADOL PS NURS	1.5
JOURNAL OF CHILD AND ADOLESCENT PSYCHOPHARMACOLOGY	J CHILD ADOL PSYCHOP	1.8
Journal of Child and Family Studies	J CHILD FAM STUD	2.1
Journal of Child Health Care	J CHILD HEALTH CARE	1.9
JOURNAL OF CHILD LANGUAGE	J CHILD LANG	2.1
JOURNAL OF CHILD NEUROLOGY	J CHILD NEUROL	1.6
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY	J CHILD PSYCHOL PSYC	6.6
JOURNAL OF CHILD PSYCHOTHERAPY	J CHILD PSYCHOTHER	1
Journal of Child Science	J CHILD SCI	0.2
Journal of Child Sexual Abuse	J CHILD SEX ABUS	1.3
Journal of Childhood Studies	J CHILD STUD	0.6
Journal of Children and Media	J CHILD MEDIA	2.3
Journal of Childrens Orthopaedics	J CHILD ORTHOP	1.8
Journal of Childrens Services	J CHILD SERV	0.7
Journal of China Tourism Research	J CHINA TOUR RES	2.3
Journal of Chinese Cinemas	J CHINESE CINEMAS	0.5
Journal of Chinese Economic and Business Studies	J CHIN ECON BUS STUD	3.7
Journal of Chinese Economic and Foreign Trade Studies	J CHIN ECON FOREIGN	2
Journal of Chinese Governance	J CHIN GOV	5.5
Journal of Chinese History	J CHINESE HIST	0.5
Journal of Chinese Human Resources Management	J CHIN HUM RESOUR MA	2.6
JOURNAL OF CHINESE LINGUISTICS	J CHINESE LINGUIST	0.2
